docname,topic,proportion
comments.json:626,007,0.238539
comments.json:626,008,0.129063
comments.json:661,000,1.0
comments.json:696,000,0.589194
comments.json:696,007,0.410806
comments.json:731,000,0.668243
comments.json:731,007,0.331757
comments.json:766,007,1.0
comments.json:801,008,1.0
comments.json:836,000,0.472159
comments.json:836,001,0.164127
comments.json:836,008,0.1366
comments.json:836,004,0.113886
comments.json:836,007,0.113229
comments.json:871,008,1.0
comments.json:906,000,1.0
comments.json:941,000,0.758909
comments.json:941,007,0.241091
comments.json:976,000,1.0
comments.json:1011,000,0.707528
comments.json:1011,007,0.292472
comments.json:1046,007,1.0
comments.json:1081,007,1.0
comments.json:1116,000,1.0
comments.json:1151,007,1.0
comments.json:1186,000,1.0
comments.json:1221,007,1.0
comments.json:11,000,1.0
comments.json:46,007,1.0
comments.json:81,007,1.0
comments.json:116,000,1.0
comments.json:151,007,1.0
comments.json:186,003,1.0
comments.json:221,000,1.0
comments.json:256,007,1.0
comments.json:291,007,1.0
comments.json:326,000,0.692007
comments.json:326,007,0.307993
comments.json:361,007,1.0
comments.json:396,000,1.0
comments.json:431,000,1.0
comments.json:466,000,1.0
comments.json:501,000,0.713086
comments.json:501,007,0.286914
comments.json:536,001,1.0
comments.json:586,000,0.692614
comments.json:586,007,0.307386
comments.json:621,007,1.0
comments.json:656,007,1.0
comments.json:691,007,1.0
comments.json:726,007,1.0
comments.json:761,007,1.0
comments.json:796,000,1.0
comments.json:831,004,1.0
comments.json:866,000,1.0
comments.json:901,000,1.0
comments.json:936,007,1.0
comments.json:971,004,1.0
comments.json:1006,001,1.0
comments.json:1041,007,1.0
comments.json:1076,000,0.754318
comments.json:1076,007,0.245682
comments.json:1111,007,1.0
comments.json:1146,007,1.0
comments.json:1181,007,1.0
comments.json:1216,007,1.0
comments.json:12,002,1.0
comments.json:47,007,1.0
comments.json:82,005,1.0
comments.json:117,007,1.0
comments.json:152,000,1.0
comments.json:187,000,1.0
comments.json:222,000,1.0
comments.json:257,000,1.0
comments.json:292,007,1.0
comments.json:327,007,1.0
comments.json:362,003,1.0
comments.json:397,007,1.0
comments.json:432,008,1.0
comments.json:467,000,1.0
comments.json:502,007,1.0
comments.json:537,000,1.0
comments.json:587,003,1.0
comments.json:622,008,1.0
comments.json:657,007,1.0
comments.json:692,000,1.0
comments.json:727,006,1.0
comments.json:762,007,1.0
comments.json:797,000,1.0
comments.json:832,007,1.0
comments.json:867,001,1.0
comments.json:902,008,1.0
comments.json:937,007,1.0
comments.json:972,008,1.0
comments.json:1007,007,1.0
comments.json:1042,000,1.0
comments.json:1077,008,1.0
comments.json:1112,000,1.0
comments.json:1147,007,1.0
comments.json:1182,008,1.0
comments.json:1217,007,1.0
comments.json:18,002,1.0
comments.json:53,007,1.0
comments.json:88,000,1.0
comments.json:123,008,1.0
comments.json:158,004,1.0
comments.json:193,007,1.0
comments.json:228,003,1.0
comments.json:263,007,1.0
comments.json:298,002,1.0
comments.json:333,001,1.0
comments.json:368,000,1.0
comments.json:403,008,1.0
comments.json:438,007,1.0
comments.json:473,000,0.876676
comments.json:473,007,0.123324
comments.json:508,000,1.0
comments.json:543,000,0.731204
comments.json:543,007,0.268796
comments.json:593,002,1.0
comments.json:628,000,1.0
comments.json:663,007,1.0
comments.json:698,000,0.716521
comments.json:698,007,0.283479
comments.json:733,007,1.0
comments.json:768,008,1.0
comments.json:803,007,1.0
comments.json:838,007,1.0
comments.json:873,008,1.0
comments.json:908,000,1.0
comments.json:943,007,1.0
comments.json:978,001,1.0
comments.json:1013,000,0.516976
comments.json:1013,001,0.216016
comments.json:1013,008,0.194353
comments.json:1013,004,0.072655
comments.json:1048,007,1.0
comments.json:1083,007,1.0
comments.json:1118,005,1.0
comments.json:1153,000,1.0
comments.json:1188,001,1.0
comments.json:1223,000,1.0
comments.json:33,000,1.0
comments.json:68,004,1.0
comments.json:103,001,1.0
comments.json:138,000,1.0
comments.json:173,008,1.0
comments.json:208,000,1.0
comments.json:243,000,1.0
comments.json:278,007,1.0
comments.json:313,008,1.0
comments.json:348,000,0.465167
comments.json:348,007,0.295955
comments.json:348,008,0.128415
comments.json:348,002,0.110464
comments.json:383,007,1.0
comments.json:418,000,1.0
comments.json:453,008,1.0
comments.json:488,000,0.43464
comments.json:488,008,0.195624
comments.json:488,001,0.188865
comments.json:488,004,0.110635
comments.json:488,006,0.070236
comments.json:523,008,1.0
comments.json:558,000,1.0
comments.json:573,008,1.0
comments.json:608,007,1.0
comments.json:643,000,1.0
comments.json:678,008,1.0
comments.json:713,007,1.0
comments.json:748,000,0.62149
comments.json:748,007,0.37851
comments.json:783,008,1.0
comments.json:818,007,1.0
comments.json:853,000,1.0
comments.json:888,008,1.0
comments.json:923,005,1.0
comments.json:958,000,1.0
comments.json:993,007,1.0
comments.json:1028,007,1.0
comments.json:1063,002,1.0
comments.json:1098,000,0.699689
comments.json:1098,007,0.169728
comments.json:1098,004,0.080303
comments.json:1098,005,0.05028
comments.json:1133,000,1.0
comments.json:1168,000,1.0
comments.json:1203,007,1.0
comments.json:1238,007,1.0
comments.json:32,001,1.0
comments.json:67,007,1.0
comments.json:102,000,0.681315
comments.json:102,007,0.318685
comments.json:137,007,1.0
comments.json:172,008,0.680566
comments.json:172,004,0.319434
comments.json:207,008,1.0
comments.json:242,003,1.0
comments.json:277,007,1.0
comments.json:312,004,1.0
comments.json:347,008,1.0
comments.json:382,007,1.0
comments.json:417,007,1.0
comments.json:452,008,1.0
comments.json:487,000,1.0
comments.json:522,007,1.0
comments.json:557,008,1.0
comments.json:572,000,0.59516
comments.json:572,007,0.40484
comments.json:607,007,1.0
comments.json:642,000,1.0
comments.json:677,007,1.0
comments.json:712,007,1.0
comments.json:747,004,1.0
comments.json:782,002,1.0
comments.json:817,000,0.601886
comments.json:817,001,0.185869
comments.json:817,008,0.156241
comments.json:817,002,0.032836
comments.json:817,004,0.023168
comments.json:852,007,1.0
comments.json:887,007,1.0
comments.json:922,001,1.0
comments.json:957,000,1.0
comments.json:992,000,0.934567
comments.json:992,001,0.065433
comments.json:1027,007,1.0
comments.json:1062,002,1.0
comments.json:1097,007,1.0
comments.json:1132,008,1.0
comments.json:1167,000,1.0
comments.json:1202,008,1.0
comments.json:1237,007,1.0
comments.json:6,000,0.643944
comments.json:6,007,0.356056
comments.json:41,007,1.0
comments.json:76,000,1.0
comments.json:111,000,1.0
comments.json:146,007,1.0
comments.json:181,007,1.0
comments.json:216,005,1.0
comments.json:251,000,0.633039
comments.json:251,007,0.328428
comments.json:251,002,0.038533
comments.json:286,007,1.0
comments.json:321,000,1.0
comments.json:356,007,1.0
comments.json:391,000,1.0
comments.json:426,003,1.0
comments.json:461,007,1.0
comments.json:496,007,1.0
comments.json:531,000,1.0
comments.json:581,007,1.0
comments.json:616,007,1.0
comments.json:651,007,1.0
comments.json:686,007,1.0
comments.json:721,007,1.0
comments.json:756,007,1.0
comments.json:791,001,1.0
comments.json:826,007,1.0
comments.json:861,007,1.0
comments.json:896,002,1.0
comments.json:931,003,1.0
comments.json:966,008,1.0
comments.json:1001,007,1.0
comments.json:1036,008,1.0
